INFO 2024-08-20 22:23:05,149 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-20 22:23:05,151 autoreload Waiting for apps ready_event.
DEBUG 2024-08-20 22:23:05,174 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-20 22:23:05,212 autoreload Watching dir C:\Users\mrrem\OneDrive\Documents\jobportal-main\jobportal-main\App\templates with glob **/*.
DEBUG 2024-08-20 22:23:05,213 autoreload Watching dir C:\Users\mrrem\OneDrive\Documents\jobportal-main\jobportal-main\locale with glob **/*.mo.
DEBUG 2024-08-20 22:23:05,213 autoreload Watching dir C:\Users\mrrem\OneDrive\Documents\jobportal-main\jobportal-main\App\locale with glob **/*.mo.
DEBUG 2024-08-20 22:23:05,214 autoreload Watching dir C:\Users\mrrem\Desktop\jobportal-main\jobportal-main\venv\Lib\site-packages\channels\locale with glob **/*.mo.
DEBUG 2024-08-20 22:23:05,371 utils (0.016) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-08-20 22:23:05,377 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-20 22:23:05,504 autoreload File C:\Users\mrrem\Desktop\jobportal-main\jobportal-main\venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1723588863.966017
DEBUG 2024-08-20 22:23:05,505 autoreload File C:\Users\mrrem\Desktop\jobportal-main\jobportal-main\venv\Lib\site-packages\django\template\engine.py first seen with mtime 1723588864.1131835
DEBUG 2024-08-20 22:23:05,505 autoreload File C:\Users\mrrem\Desktop\jobportal-main\jobportal-main\venv\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1723588863.9670305
DEBUG 2024-08-20 22:23:05,506 autoreload File C:\Users\mrrem\Desktop\jobportal-main\jobportal-main\venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1723588860.1932836
DEBUG 2024-08-20 22:23:05,506 autoreload File C:\Users\mrrem\Desktop\jobportal-main\jobportal-main\venv\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1723588863.7818382
DEBUG 2024-08-20 22:23:05,507 autoreload File C:\Users\mrrem\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py first seen with mtime 1717700052.0
DEBUG 2024-08-20 22:23:05,507 autoreload File C:\Users\mrrem\Desktop\jobportal-main\jobportal-main\venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1723588863.7696593
DEBUG 2024-08-20 22:23:05,508 autoreload File C:\Users\mrrem\Desktop\jobportal-main\jobportal-main\venv\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1723588862.8070784
DEBUG 2024-08-20 22:23:05,508 autoreload File C:\Users\mrrem\AppData\Local\Programs\Python\Python312\Lib\http\server.py first seen with mtime 1717700052.0
DEBUG 2024-08-20 22:23:05,508 autoreload File C:\Users\mrrem\Desktop\jobportal-main\jobportal-main\venv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1723588861.676091
DEBUG 2024-08-20 22:23:05,509 autoreload File C:\Users\mrrem\Desktop\jobportal-main\jobportal-main\venv\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1723588847.2066052
